卦番号,名前,アーキタイプ,中心的課題,取るべき行動,現代解釈の要約,卦のキーワード,平均点,互卦,綜卦（設定する側）,錯卦（設定する側）,初爻変,二爻変,三爻変,四爻変,五爻変,上爻変
18,山風蠱,"事業再生,組織改革,負の遺産の清算",親や先代から引き継いだ腐敗や問題に、どう立ち向かい、改革するか,問題を直視し、痛みを恐れず、根本的な解決を図る,親や先代から引き継いだ問題や、長年の腐敗に、断固として立ち向かう時。,"腐敗の立て直し,改革",0.5,雷沢帰妹,沢雷随,水山蹇,沢雷随,沢雷随,火風鼎,巽為風,地風升,山天大畜
19,地沢臨,"リーダーシップ,教育,成長期,春",リーダーとして、あるいは組織として、いかにして衆に臨み、導くか,威圧せず、知恵と誠実さをもって、人々を導き、教える,物事が大いに発展・成長する幸運期。リーダーが民に臨み、導く。,"成長,接近,リーダーシップ",1.17,地雷復,風地観,地雷復,風地観,天山遯,地水師,地雷復,地天泰,雷沢帰妹
20,風地観,"市場調査,自己分析,現状把握",いかにして物事の本質を「観察」し、自己を省みるか,感情を排し、客観的に状況を分析し、多角的な視点を持つ,物事を注意深く観察し、本質を見抜く。他者を見るだけでなく、自己を省みる時。,"観察,洞察,自己反省",0.33,山地剥,地沢臨,山地剝,地沢臨,雷天大壮,天地否,山地剥,水地比,風雷益
21,火雷噬嗑,"問題解決,不正追及,法と秩序",間に挟まった障害物や不正を、いかにして断固として「噛み砕く」か,感情的にならず、公正な裁きと、問題の根本解決を目指す,間に挟まった障害物や不正を「噛み砕き」、断固たる態度で問題を解決する。,"困難の排除,公正な裁き",0,水山蹇,山火賁,山雷頤,山火賁,水風井,山雷頤,天雷无妄,震為雷,火地晋
22,山火賁,"ブランディング,デザイン,プレゼンテーション",いかにして「飾り（形式）」と「本質（実質）」を調和させるか,表面的な美しさに溺れず、内面の充実を伴わせる,表面的な美しさ（形式）と、その内にある本質との調和が問われる。,"飾り,美しさ,調和",0.5,雷水解,火雷噬嗑,澤風大過,火雷噬嗑,沢水困,離為火,風火家人,艮為山,山天大畜
23,山地剝,"時代の終わり,衰退期,組織解体",避けられない衰退や崩壊の時期を、いかに耐え、次代に備えるか,無理な抵抗を避け、現状を受け入れ、再生の種を守る,物事が下から徐々に剥がれ落ち、衰退していく。しかし、その先に再生の兆しあり。,"衰退,崩壊,変化の時",-1,坤為地,地雷復,風地観,地雷復,沢天夬,山雷頤,山水蒙,艮為山,火地晋
24,地雷復,"V字回復,再生,再出発,冬至",困難の底から、いかにして「回復」し、再起を果たすか,焦らず、原点に立ち返り、誠実な努力を積み重ねる,困難の底から、陽の気が一つ戻り、希望の光が見え始める再起の時。,"回復,回帰,新たな始まり",0.5,坤為地,山地剝,地沢臨,坤為地,地火明夷,地沢臨,火雷噬嗑,沢雷随,天雷无妄
25,天雷无妄,"自然体,誠実,理不尽な災難",誠実に行動しても避けられない「予期せぬ災難」にどう向き合うか,偽りのない自然体でいる。しかし、常に不測の事態への心構えを持つ,偽りのない誠実な行動が基本。しかし、時に避けられない不運に見舞われることも。,"無垢,自然体,予期せぬ災難",-0.33,風山漸,山天大畜,天風姤,山天大畜,地風升,風雷益,火雷噬嗑,沢雷随,天地否
26,山天大畜,"人材育成,研究開発,自己投資",いかにして大きな力や才能を、暴走させずに「蓄積」し、育むか,焦って行動せず、適切な抑制と指導で、来るべき時に備える,力を内に蓄え、知識や能力を養い、来るべき時に備える、戦略的な準備期間。,"大いなる蓄積,才能の開花",0.83,雷沢帰妹,天雷无妄,山沢損,天雷无妄,沢地萃,火天大有,風天小畜,地天泰,山風蠱
27,山雷頤,"健康管理,情報リテラシー,教育",いかにして、心身、知識、組織を、正しく「養う」か,口にするもの（食事、情報、言葉）の質と節度を保つ,何を「口にするか」（食事、情報、言葉）の質と節度が、その人の運命を左右する。,"養う,口,正しい食と情報",-0.5,坤為地,澤風大過,火雷噬嗑,沢風大過,山雷頤,火雷噬嗑,風雷益,地雷復,山地剥
28,澤風大過,"経営危機,構造的欠陥,極限状態",棟木がたわむような「異常事態」や危機を、どう乗り越えるか,常識にとらわれず、抜本的な対策と、覚悟ある決断を下す,棟木がたわむような、常軌を逸した危機的状況。抜本的な対応が求められる。,"異常事態,危機,覚悟",-0.5,乾為天,山雷頤,山火賁,山雷頤,沢風大過,水風井,雷風恒,沢水困,沢天夬
29,坎為水,"深刻な危機,困難,試練,忍耐",幾重にも重なる困難の渦中で、いかにして生き抜き、脱出するか,焦らず、知恵を働かせ、信頼できる助けを求める,危険が幾重にも重なる、非常に厳しい状況。知恵と信頼、忍耐が試される。,"困難,危険,陥る",-0.67,山雷頤,坎為水,離為火,坎為水,離為火,水沢節,水地比,水風井,沢水困
30,離為火,"情報発信,自己表現,ブランディング",輝きや注目の中、その「依存性」を理解し、本質を見失わないこと,表面的な輝きに惑わされず、冷静な知恵と洞察力を保つ,物事が明るく輝き注目を集めるが、その輝きが何に依存しているか、本質を見抜く知恵が問われる。,"輝き,依存,明智",-0.17,沢風大過,離為火,坎為水,離為火,坎為水,山火賁,天火同人,雷火豊,火山旅
31,沢山咸,"共感,影響力,コミュニケーション",いかにして、強制ではなく、自然な「感応」で心を通わせるか,表面的な言葉でなく、深い共感と誠実さで、影響を与え合う,強制ではなく、自然な引き合いや共感によって心が通じ合う。,"感応,共感,相互作用",0,天風姤,雷風恒,雷風恒,雷風恒,山沢損,水山蹇,雷山小過,天山遯,沢火革
32,雷風恒,"持続可能性,ブランド,安定した関係",いかにして物事の「持続可能性」を確保し、維持していくか,変化に適応しつつ、核となる原則や習慣を恒久的に守る,変化の中で、変わらない原則を守り、物事を安定的に持続させることの重要性。,"持続,恒久,安定",-0.17,沢天夬,沢山咸,沢山咸,沢山咸,風雷益,地風升,沢風大過,火風鼎,雷天大壮
33,天山遯,"戦略的撤退,リスク回避,自己防衛",不利な状況から、いかにして賢明に「退く」か,無益な争いを避け、戦略的に身を引き、時を待つ,不利な状況から賢明に身を引き、無理に抵抗せず、自らを守る知恵。,"撤退,身を引く,自己防衛",0.83,天風姤,雷天大壮,風山漸,雷天大壮,地沢臨,風山漸,火山旅,沢山咸,天火同人
34,雷天大壮,"積極的な行動,成長戦略,リーダーシップ",「大いなる勢い」を、いかにして暴走させず、正しく行使するか,驕らず、公正さを保ち、力強い行動と、それを律する知恵を両立させる,陽のエネルギーが満ち溢れ、力強く前進する。ただし、暴走への警告も含む。,"大いなる勢い,力強い前進",0,沢天夬,天山遯,雷沢帰妹,天山遯,風地観,地天泰,沢天夬,雷地豫,火天大有
35,火地晋,"昇進,成長,才能開花",順調な進展の中で、いかにして慢心せず、さらなる高みを目指すか,周囲への感謝を忘れず、謙虚さを保ち、努力を継続する,大地から太陽が昇るように、物事が順調に進み、発展していく幸運期。,"進展,昇進,光明",0.83,水山蹇,地火明夷,火山旅,地火明夷,水天需,山地剥,天地否,雷地豫,火雷噬嗑
36,地火明夷,"不遇な時期,忍耐,自己防衛",光明が隠された暗黒時代を、いかにして耐え抜き、身を守るか,無理に抵抗せず、知恵をもって、内なる希望を保ち、時を待つ,正義が迫害され、光明が隠される暗黒時代。知恵をもって身を守り、耐え忍ぶ。,"光明の隠蔽,困難,忍耐",0.5,雷水解,火地晋,雷火豊,火地晋,天水訟,雷火豊,水火既済,山火賁,地山謙
37,風火家人,"家族,組織,内部統制,チームワーク",いかにして「家（組織）」の内なる秩序を確立し、和合を保つか,明確な役割分担と、信頼に基づく温かいコミュニケーション,家庭や組織の内なる秩序を確立し、和合を保つことが、全体の安定の基盤となる。,"家族,秩序,内部統制",1.17,火水未済,火沢睽,水風井,火沢睽,雷水解,天火同人,山火賁,水火既済,風山漸
38,火沢睽,"対立,不和,コミュニケーションの困難",互いに背き合う「対立」の中で、いかにして和解の道を探るか,感情的にならず、冷静に状況を判断し、誠実な対話を試みる,火は上へ、沢は下へ。心が通じ合わず、対立する。しかし、その先に和解の道を探る。,"対立,不和,相互理解の困難",0.17,水火既済,風火家人,沢水困,風火家人,水山蹇,山沢損,天沢履,雷沢帰妹,火水未済
39,水山蹇,"行き詰まり,障害,進退両難",進むも退くも困難な「足踏み」状態を、どう乗り越えるか,焦らず、無理に進まず、信頼できる助けを求める,進むも退くも困難な、進退両難の状況。無理に進まず、助けを求める知恵が問われる。,"困難,足踏み,立ち往生",0.33,火水未済,雷水解,沢火革,雷水解,火沢睽,沢山咸,地山謙,風山漸,水火既済
40,雷水解,"問題解決,解放,和解",困難な状況が「解放」される時、いかにして問題を根本から解決するか,迅速かつ賢明に行動し、過去を許し、新たな始まりを迎える,冬の氷が解けるように、困難や障害が解消され、物事が好転し、自由と安堵が訪れる。,"解決,解放,新たな始まり",1.17,水火既済,水山蹇,火風鼎,水山蹇,風火家人,地水師,沢水困,雷地豫,雷沢帰妹
41,山沢損,"コスト削減,断捨離,損して得取れ",いかにして「損」することで、より大きな「益」を得るか,無駄を削減し、本質を強化する。自己犠牲と社会貢献。,「損して得取れ」。一時的な損失や削減が、長期的にはより大きな利益や健全化に繋がる。,"損失,削減,自己犠牲",1.17,地雷復,風雷益,山天大畜,風雷益,沢山咸,風沢中孚,水沢節,地沢臨,山水蒙
42,風雷益,"社会貢献(CSR),人材育成,Win-Win",いかにして、他者や社会全体に「利益」をもたらし、共に成長するか,与えることで、より多くを得る。無私な貢献と投資。,他者に利益を与え、全体として成長していく。与えることで、より多くを得る。,"増益,貢献,成長",1.33,山地剥,山沢損,天雷无妄,山沢損,雷風恒,天雷无妄,山雷頤,水雷屯,風地観
43,沢天夬,"決断,改革,突破",最後の障害を、いかにして「決断」し、打ち破るか,独断を避け、公正さを保ち、勇気をもって行動する,最後の障害を打ち破る時。大胆な決断と、勇気ある行動が求められる。,"決断,決行,突破",-0.17,乾為天,天風姤,地山謙,天風姤,山地剥,水天需,雷天大壮,乾為天,沢風大過
44,天風姤,"偶然の出会い,影響力,誘惑",「予期せぬ出会い」がもたらす、機会とリスクをどう見極めるか,表面に惑わされず、冷静に判断し、慎重に行動する,偶然の出会いが、大きな影響をもたらし始める。チャンスとリスクが混在する。,"予期せぬ出会い,影響力",0,乾為天,沢天夬,雷地豫,沢天夬,地雷復,巽為風,火風鼎,沢風大過,乾為天
45,沢地萃,"イベント,コミュニティ,チームビルディング",いかにして人々を「結集」させ、大きな力を生み出すか,明確な目的と、信頼に基づくリーダーシップで、衆をまとめる,人々や資源が一箇所に集まり、喜びをもって結束することで、大きな力を生み出す。,"結集,結束,喜び",0.67,風山漸,地風升,澤風大過,地風升,山天大畜,水地比,雷地豫,天地否,沢雷随
46,地風升,"成長,昇進,段階的進歩",いかにして、大地から天へ「昇る」ように、着実に成長するか,焦らず、基礎を固め、地道な努力を積み重ねる,大地から木が育つように、地道な努力を通じて、着実に高みを目指していく。,"上昇,成長,着実な進歩",0.83,雷沢帰妹,沢地萃,山雷頤,沢地萃,天雷无妄,雷風恒,水風井,山風蠱,地天泰
47,沢水困,"逆境,困難,忍耐,危機",「困窮」した八方塞がりの状況を、いかにして耐え抜くか,焦らず、本質を守り、信頼できる助けを求める,内外ともに困難が重なり、八方塞がり。困難の中で、本質を守る知恵が試される。,"困窮,逆境,忍耐",-0.67,風火家人,水風井,火沢睽,水風井,山火賁,坎為水,雷水解,天水訟,兌為沢
48,水風井,"インフラ,安定供給,地域貢献",「井戸」のように、いかにして安定した恩恵を供給し続けるか,継続的な改善とメンテナンスを怠らず、広く分かち合う,井戸のように、人々に安定した恩恵をもたらし、そのために不断の努力が求められる。,"供給,安定,継続的改善",0,火沢睽,沢水困,風火家人,沢水困,火雷噬嗑,沢風大過,地風升,巽為風,水天需
49,沢火革,"革命,変革,抜本的改革",いかにして古いものを「改革」し、新しいものを創り出すか,目的を明確にし、適切なタイミングで、覚悟をもって断行する,古いものを根本から変え、新しいものを創り出す。タイミングと覚悟が重要。,"改革,変革,革命",0.67,天風姤,火沢睽,雷水解,火風鼎,山水蒙,水火既済,雷火豊,天火同人,沢山咸
50,火風鼎,"組織構築,安定,文化形成",いかにして、組織や文化を「鼎」のように、安定した形に「形成」するか,各要素が連携し、本質を養い、社会に貢献する,組織や文化が、鼎のように安定した形を取り、その価値が確立される。,"形成,安定,文化の確立",0.5,沢天夬,風火家人,水雷屯,沢火革,水雷屯,山風蠱,天風姤,雷風恒,火天大有
51,震為雷,"衝撃,急変,危機管理",予期せぬ「衝撃」に、いかに冷静に対処し、覚醒の機会とするか,恐怖に囚われず、迅速かつ適切な行動を取る,予期せぬ衝撃的な出来事。その中で冷静さを保ち、迅速に行動することが問われる。,"衝撃,覚醒,急変",-0.17,水山蹇,震為雷,巽為風,艮為山,巽為風,地雷復,沢雷随,火雷噬嗑,雷地豫
52,艮為山,"静止,休息,自己抑制",いかにして賢明に「止まり」、内なる力を養うか,無為な停滞を避け、目的を持った休息と内省を行う,無理に進まず、一旦立ち止まり、内省し、力を蓄えることの重要性。,"静止,休息,自己抑制",0,雷水解,艮為山,地山謙,震為雷,兌為沢,山火賁,山風蠱,山地剥,火山旅
53,風山漸,"着実な成長,段階的進歩,婚姻",いかにして物事を「漸進」させ、着実に成長させるか,焦らず、段階を踏み、正しい順序で物事を進める,焦らず、段階を踏んで、物事をゆっくりと、しかし確実に進めることの価値。,"漸進,着実な成長,婚姻",0.67,火水未済,雷沢帰妹,天山遯,雷沢帰妹,雷沢帰妹,天山遯,艮為山,水山蹇,風火家人
54,雷沢帰妹,"不適切な関係,時期尚早,混乱",「不自然な結合」や、秩序の乱れがもたらす混乱にどう対処するか,焦らず、本質を見極め、倫理観を保ち、正しい調和を目指す,本来の順序から外れた、時期尚早な行動や、不適切な関係がもたらす混乱。,"不自然な関係,秩序の乱れ",-0.5,水火既済,風山漸,雷天大壮,風山漸,風山漸,地沢臨,兌為沢,火沢睽,雷水解
55,雷火豊,"繁栄の頂点,豊かさ,慢心への警告",「繁栄の極み」において、いかに慢心せず、その豊かさを維持するか,公正な分配を心がけ、常に陰りや変化の兆しに警戒する,物事が最高潮に達した、豊かな状態。しかし、その光の裏にある陰りへの警告。,"繁栄の極み,豊かさ,光明",0.5,沢風大過,火山旅,地火明夷,火山旅,風水渙,地火明夷,沢火革,離為火,雷山小過
56,火山旅,"変化,適応,孤独,異郷",慣れない「旅」の途上、孤独と不安定さに、どう適応していくか,慎重さと礼儀を忘れず、目的を見失わず、自己を律する,慣れない環境での、孤独で不安定な状況。慎重さと適応能力が試される。,"旅,変化,異郷での適応",-0.83,沢風大過,雷火豊,火地晋,雷火豊,水沢節,離為火,火風鼎,火地晋,艮為山
57,巽為風,"影響力,柔軟性,浸透,優柔不断",「風」のように、いかにして柔軟に、そして効果的に影響を与えるか,独断を避け、謙虚に、そして間接的な力で物事を動かす,風のように、目に見えないが、確実に物事の奥深くまで入り込み、影響を与える。,"浸透,影響,柔軟性",0.33,火沢睽,巽為風,震為雷,兌為沢,震為雷,天風姤,山風蠱,水風井,風天小畜
58,兌為沢,"喜び,コミュニケーション,共感",いかにして「喜び」を分かち合い、円滑なコミュニケーションを図るか,軽薄な言動を避け、真心をもって交流する,人々が喜びを分かち合う。しかし、口先だけの軽薄な喜びへの警告も含む。,"喜び,コミュニケーション",-0.17,風火家人,兌為沢,震為雷,巽為風,艮為山,水沢節,沢水困,沢雷随,天沢履
59,風水渙,"困難の解消,分散,再生",固まった困難や停滞を、いかにして「散らし」、解消するか,私心を捨て、大胆な発想と行動で、新しい流れを生み出す,固まった困難や停滞を「散らし」、新しい流れを生み出す、問題解決の卦。,"困難の解消,分散",1.5,山雷頤,水風井,火雷噬嗑,水沢節,雷火豊,天水訟,山水蒙,坎為水,風沢中孚
60,水沢節,"節度,規律,抑制,バランス",いかにして、物事に行き過ぎのない「節度」と規律を設けるか,過剰や不足を避け、常に適切なバランスを保つ,物事の行き過ぎを防ぐための、適切な制限の重要性。バランスが鍵。,"節度,規律,抑制",-0.33,山雷頤,風沢中孚,雷火豊,風水渙,火山旅,兌為沢,地沢臨,風沢中孚,坎為水
61,風沢中孚,"真心,信頼,共感",いかにして「真心」をもって、揺るぎない信頼関係を築くか,表面的なものではなく、心からの誠実さで、人と接する,偽りのない誠実な心が、人々の信頼を得て、物事を成し遂げる。,"真心,信頼,共感",0.17,山雷頤,雷山小過,雷山小過,雷山小過,雷山小過,天沢履,山沢損,水沢節,風水渙
62,雷山小過,"異常事態,危機,バランス",「少し行き過ぎた」異常事態に、いかにして慎重に対処するか,大きな行動は慎み、細やかな配慮と謙虚な姿勢を保つ,バランスを欠いた危機的状況。大きな行動は慎み、細やかな配慮が求められる。,"少し行き過ぎ,異常事態",-0.67,沢風大過,風沢中孚,風沢中孚,風沢中孚,風沢中孚,地山謙,沢山咸,火山旅,雷火豊
63,水火既済,"完成,調和,維持",「完成」した状態を、いかにして維持し、油断しないか,常に変化の兆しを警戒し、次の段階への準備を怠らない,物事が完璧に完成した状態。しかし、その完成をいかに維持し、油断しないかが問われる。,"完成,調和,維持",0,火水未済,火水未済,火水未済,火水未済,火水未済,沢火革,地火明夷,風火家人,水山蹇
64,火水未済,"未完成,継続,希望,循環",「未完成」な状況で、いかにして希望を失わず、努力を継続するか,焦らず、完璧を求めず、知恵と情熱をもって、次を目指す,物事がまだ完成していない状態。終わりは新たな始まりであり、希望と継続的な努力がテーマ。,"未完成,継続,希望",0,水火既済,水火既済,水火既済,水火既済,水火既済,山水蒙,天水訟,雷水解,火沢睽
