卦番号,卦の名前,読み,キーワード,資質,性格,能力,傾向（くせ）,長所,短所,対人関係,適職,開運アドバイス
37,風火家人,ふうかかじん,家族と役割,家庭的な愛情、責任感、協調性,真面目、規律正しい、情愛深い、内向き,家庭を切り盛りする力、組織内の調和を保つ力,世間体を気にする、内輪で物事を解決しようとする,家庭や組織内に安定と秩序をもたらす,視野が狭くなりがち、身内に甘い,家族のような強い絆で結ばれた関係を築く。役割分担を重んじる。,主婦・主夫、家業、教員、人事・総務,家族一人ひとりが自分の役割を誠実に果たすこと。厳しさと愛情のバランスが大切。
38,火沢睽,かたくけい,対立と不和,個性、独自性、批判精神、異なる視点,あまのじゃく、反骨精神が旺盛、人と同じことを嫌う、疑り深い,独自の視点で物事を見る力、分析力、改革する力,何にでも反対する、孤立しがち、和を乱す,人が気づかない問題点を発見できる、ユニークな発想を持つ,人と協力できない、誤解されやすい,人と反目しやすく、孤立無援になりがち。違いを認め合える相手とならうまくいく。,評論家、アーティスト、発明家、一匹狼的な専門職,対立の中にも、小さな共通点を見出す努力を。感情的にならず、違いを個性として受け入れる。
39,水山蹇,すいざんけん,行き詰まりと反省,忍耐力、内省する力、協力者を求める力,苦労性、悩みが多い、進退窮まる、助けを求めるのが上手,困難な状況で、自分を見つめ直す能力、人の助けを借りる能力,八方塞がりで動けない、悲観的になる,困難な状況で、賢者の助言を得て、道を切り開くことができる。,一人では何もできない、他力本願になりがち。,困難な状況で、助けてくれる目上の人や友人が現れる。,（進むべき時ではない）アドバイザーや師の助言を求める全ての立場,無理に進むのをやめ、内面を省みること。信頼できる目上の人に相談し、助言に従う。
40,雷水解,らいすいかい,解放と解決,問題解決能力、寛大さ、行動力、素早さ,さっぱりしている、過去にこだわらない、行動が早い、寛大,困難な状況や問題を解決する力、人を許す力,大雑把、詰めが甘い,問題が解決したら、すぐに次の行動に移れる。人を許し、水に流すことができる。,問題の根本解決に至らないことがある。,緊張が解け、和やかな関係が戻る。罪や過ちを許すことで、信頼を得る。,トラブルシューター、弁護士、コンサルタント、カウンセラー,問題が解決したら、速やかに行動すること。過去にこだわらず、赦す心を大切に。
41,山沢損,さんたくそん,損失と誠実,自己犠牲、質素倹約、誠実さ,控えめ、我慢強い、自分のことを後回しにする,無駄を省く力、人を助ける力,損な役回りを引き受ける、自分を犠牲にしすぎる,下の者を助けることで、結果的に信頼を得る。,常に損をしている、自己肯定感が低くなりがち。,人に与えてばかりで、自分が損をする関係になりやすい。,ボランティア、福祉関係、コンサルタント（コストカット）,損して得取れ。誠意をもって与えれば、巡り巡って自分に返ってくる。怒りを抑えること。
42,風雷益,ふうらいえき,増加と貢献,奉仕精神、積極性、人を助ける力、発展性,親切、行動的、自己犠牲をいとわない、前向き,事業を拡大する能力、社会貢献する力、人を助け成長させる力,おせっかい、自分のことを後回しにしすぎる,人や社会のために尽くすことで、結果的に自分も豊かになる。,自分の利益を考えなさすぎることがある。,人助けが好きで、多くの人から感謝される。良いリーダーになれる。,福祉関係、NPO職員、教師、コンサルタント、公共事業,良いと思ったらすぐに行動に移すこと。人の長所を真似て、自分の短所を改めるのが良い。
43,沢天夬,たくてんかい,決断と突破,決断力、突破力、明晰さ、改革精神,大胆不敵、決断が速い、白黒はっきりさせたい、短気な面も,問題解決能力、交渉力、断ち切る力,強引に進めようとする、細やかな配慮に欠ける,迷わず決断し、困難な状況を打開できる,力任せになりがちで、反発を招きやすい,頼りになるリーダーだが、敵味方をはっきり分ける。合わない人とは徹底的に対立する。,コンサルタント、弁護士、外科医、リストラ担当者、改革者,決断の前に、隠れた危険がないか慎重に確認すること。強さだけでなく、柔和な対応も身につける。
44,天風姤,てんぷうこう,偶然の出会いと警戒,鋭い直感、チャンスを掴む力、影響力,魅力的、積極的、油断しやすい、移り気,人を惹きつける能力、偶然の出会いを活かす力,誘惑に弱い、危険な関係に陥りやすい,予期せぬチャンスや出会いをものにできる。,良くないもの（人）を引き寄せてしまう危険性がある。,思いがけない出会いが多い。魅力的な異性との出会いを暗示するが、注意が必要。,営業、芸能関係、企画、インフルエンサー,偶然の出会いには慎重に対応すること。特に、強い力を持つ女性や、甘い誘惑には警戒が必要。
45,沢地萃,たくちすい,集合と繁栄,求心力、社交性、人を集める力、豊かさ,明るい、社交的、お祭り好き、リーダーシップがある,人、モノ、金を集める能力、組織をまとめる力,享楽的になりやすい、集団の中で自分を見失う,人々をまとめ、大きな力と豊かさを生み出すことができる。,予期せぬトラブルに備えることを忘れがち。,人が集まる中心にいる。人気者で、多くの人から慕われる。,経営者、プロデューサー、イベント企画、政治家、宗教団体の長,人が集まる時には、思わぬ争いや災難も起こりうる。常に備えを怠らないこと。
46,地風升,ちふうしょう,上昇と成長,素直さ、努力、成長意欲、着実に進む力,謙虚、真面目、努力家、目上を敬う,小さな努力を積み重ねて成長する能力、師から学ぶ力,成長がゆっくり、派手さがない,着実にステップアップし、最終的に大きな成功を収める。,結果が出るまでに時間がかかる。,師や先輩に素直に従うことで、引き立てられる。着実な成長が信頼を生む。,大器晩成型のあらゆる職業。特に、経験がものをいう専門職。,焦らず、一歩一歩進むこと。目上の人の教えに素直に耳を傾け、努力を続けることが大切。
47,沢水困,たくすいこん,困窮と忍耐,忍耐力、精神的な強さ、逆境でこそ輝く信念,苦労性、悲観的、口が重い、内に強い意志を秘めている,苦境に耐える力、本質を見抜く力,愚痴っぽくなる、希望を失いがち,どんな困難な状況でも耐え抜き、信念を曲げない,チャンスを活かせない、殻に閉じこもる,苦しい状況で、なかなか人に理解されない。言葉よりも信念で繋がる関係を求める。,哲学者、思想家、研究者、逆境にある組織の立て直し役,困窮しても、志を失わないこと。言葉ではなく、自分の信念と行動で道を切り開く。
48,水風井,すいふうせい,普遍と奉仕,奉仕の精神、変わらない価値、育成能力、公共性,穏やか、縁の下の力持ち、誰にでも公平、地味,人々のために尽くす力、組織やコミュニティの基盤を支える能力,自分をアピールしない、変化を好まない,井戸水のように、誰にでも分け隔てなく恵みを与え、人々に感謝される。,努力が正当に評価されないことがある。,人々の生活に欠かせない存在だが、当たり前だと思われがち。静かな信頼関係を築く。,公務員、インフラ関係、教師、福祉関係、カウンセラー,自分の徳を磨き続けること。たとえ評価されなくても、人々のために尽くす姿勢が大切。
49,沢火革,たくかかく,革命と変革,改革精神、革新性、古いものを壊す力,ラディカル、現状に満足しない、理想主義者,制度や組織を根本から変える力、改革断行力,破壊的、周囲の反発を招く,大胆な発想で、旧態依然とした状況を打ち破ることができる,事を急ぎすぎて失敗する、反発勢力に潰される,革命の同志とは強く結びつくが、保守的な人々とは激しく対立する。,革命家、改革派の政治家、ベンチャー起業家、経営コンサルタント,事を起こす前に、大義名分を明らかにし、人々の信頼を得ること。準備を万端にしてから行動する。
50,火風鼎,かふうてい,安定と共有,安定感、協調性、共有の精神、新しいものを生み出す力,どっしりしている、人を受け入れる、三方よしの精神を持つ,組織やチームを安定させる力、共有財産を築く力、人材育成能力,保守的になりがち、動きが遅い,協力体制を築き、安定した基盤の上で大きなことを成し遂げる。,既得権益に固執することがある。,中心人物として人をまとめ、調和のとれた関係を築く。皆に公平に接する。,経営者、チームリーダー、共同研究者、政治家,才能ある人を正しく用いること。中身を充実させ、皆で成果を分かち合う精神が大切。
51,震為雷,しんいらい,驚動と奮起,行動力、瞬発力、奮起する力、人を驚かせる,活発、エネルギッシュ、驚きやすい、短気、声が大きい,事態を動かす力、先導する能力、危機対応能力,慌てふためく、軽率な行動をとりがち、お騒がせ,停滞した状況を打破できる、行動が速い,落ち着きがない、早とちりしやすい,周囲を巻き込んで騒動を起こしやすい。驚かす側にも驚かされる側にもなる。,イベント企画、ジャーナリスト、消防士、救急隊員、起業家,驚くような出来事があっても、冷静さを失わないこと。恐れ慎み、自己反省を忘れずに行動する。
52,艮為山,ごんいざん,停止と不動,不動の心、自制心、静けさ、客観性,冷静沈着、動じない、無口、頑固、自分の世界を持つ,自己コントロール能力、状況を静観する力、集中力,行動しない、変化を嫌う、融通が利かない,周りに流されず、自分のペースを守れる。泰然自若としている。,チャンスを逃す、付き合いが悪い、頑固すぎて孤立する。,あまり人と関わろうとしない。自分の領域を侵されるのを嫌う。,僧侶、哲学者、作家、警備員、不動産関係、瞑想指導者,止まるべき時に止まるのは良いが、動くべき時に動ける準備もしておくこと。我欲を捨て、無心になる。
