ID,データ種別,親ID,項目名,関連する共通キーワード
sf_17,SF,-,アレンジ,"戦略・計画,構造化・秩序,実行・達成"
sf_18,SF,-,規律性,"構造化・秩序,実行・達成,持続・安定"
sf_19,SF,-,自我,"リーダーシップ,表現・伝達,社交性・人脈"
sf_20,SF,-,学習欲,"知性・学習,分析・探求,内省・静観"
sf_21,SF,-,収集心,"知性・学習,分析・探求"
sf_22,SF,-,原点思考,"知性・学習,分析・探訪,本質・真実"
sf_23,SF,-,活発性,"実行・達成,挑戦・困難,情熱・感情,始動・萌芽"
sf_24,SF,-,目標志向,"実行・達成,戦略・計画,完成・集大成,富・豊かさ"
sf_25,SF,-,信念,"本質・真実,持続・安定,循環・継続"
sf_26,SF,-,適応性,"変動・転換,共感・受容,実行・達成,挑戦・困難"
sf_27,SF,-,自己確信,"実行・達成,リーダーシップ,直感・感性,権威・支配"
sf_28,SF,-,指揮,"権威・支配,リーダーシップ,実行・達成,挑戦・困難"
sf_29,SF,-,育成,"育成・支援,成長・発展,母性・慈愛"
sf_30,SF,-,ポジティブ,"感情・情熱,表現・伝達,成長・発展,社交性・人脈"
sf_31,SF,-,個別化,"分析・探求,育成・支援,特殊・異端,本質・真実"
sf_32,SF,-,親密性,"共感・受容,家族・家庭,本質・真実,持続・安定"
sf_33,SF,-,最上志向,"美的感覚・洗練,成長・発展,正義・改善,富・豊かさ"
sf_34,SF,-,競争性,"挑戦・困難,実行・達成,権威・支配,損失・浪費"
ennea_01,エニアグラム,-,タイプ1: 改革する人,"正義・改善,本質・真実,実行・達成,父性・厳格,構造化・秩序"
ennea_02,エニアグラム,-,タイプ2: 助ける人,"育成・支援,共感・受容,感情・情熱,分配・贈与"
ennea_03,エニアグラム,-,タイプ3: 達成する人,"実行・達成,成長・発展,表現・伝達,リーダーシップ"
ennea_04,エニアグラム,-,タイプ4: 個性を求める人,"感情・情熱,創造・革新,美的感覚・洗練,葛藤・矛盾,特殊・異端"
ennea_05,エニアグラム,-,タイプ5: 調べる人,"分析・探求,内省・静観,先見・大局観,秘密・潜在"
ennea_06,エニアグラム,-,タイプ6: 忠実な人,"持続・安定,分析・探求,困難・停滞,奉仕・貢献,追従・服従"
ennea_07,エニアグラム,-,タイプ7: 熱中する人,"創造・革新,挑戦・困難,成長・発展"
ennea_08,エニアグラム,-,タイプ8: 挑戦する人,"権威・支配,リーダーシップ,正義・改善,挑戦・困難,富・豊かさ"
ennea_09,エニアグラム,-,タイプ9: 平和をもたらす人,"調和・平和,共感・受容,持続・安定,受動・待機"
mbti_01,MBTI,-,INTP,"分析・探求,内省・静観,創造・革新,特殊・異端,困難・停滞"
mbti_02,MBTI,-,ENTJ,"リーダーシップ,実行・達成,戦略・計画,権威・支配"
mbti_03,MBTI,-,INFP,"内省・静観,共感・受容,感情・情熱,正義・改善,自己変容・脱皮"
mbti_04,MBTI,-,ESTP,"実行・達成,挑戦・困難,戦略・計画,変動・転換"
mbti_05,MBTI,-,ISTJ,"実行・達成,持続・安定,正義・改善,構造化・秩序"
mbti_06,MBTI,-,ENFP,"創造・革新,感情・情熱,表現・伝達,リーダーシップ"
mbti_07,MBTI,-,ISTP,"実行・達成,分析・探求,挑戦・困難,放浪・自由"
mbti_08,MBTI,-,ESFJ,"育成・支援,奉仕・貢献,社交性・人脈,調和・平和,家族・家庭"
mbti_09,MBTI,-,ISFJ,"育成・支援,奉仕・貢献,持続・安定,共感・受容,家族・家庭"
mbti_10,MBTI,-,ESTJ,"リーダーシップ,実行・達成,構造化・秩序,正義・改善,権威・支配"
mbti_11,MBTI,-,ISFP,"美的感覚・洗練,創造・革新,感情・情熱,挑戦・困難"
mbti_12,MBTI,-,ENTP,"知性・学習,挑戦・困難,創造・革新,葛藤・矛盾"
mbti_13,MBTI,-,INFJ,"先見・大局観,奉仕・貢献,正義・改善,本質・真実,直感・感性"
mbti_14,MBTI,-,ENFJ,"リーダーシップ,育成・支援,社交性・人脈,奉仕・貢献"
mbti_15,MBTI,-,ESFP,"表現・伝達,社交性・人脈,挑戦・困難,美的感覚・洗練,依存・付着"
mbti_16,MBTI,-,INTJ,"戦略・計画,分析・探求,先見・大局観,構造化・秩序,秘密・潜在"
hex_01,六十四卦,-,乾為天,"創造・革新,リーダーシップ,実行・達成,父性・厳格"
hex_02,六十四卦,-,坤為地,"共感・受容,育成・支援,持続・安定,調和・平和,母性・慈愛"
hex_03,六十四卦,-,水雷屯,"創造・革新,挑戦・困難,戦略・計画,困難・停滞"
hex_04,六十四卦,-,山水蒙,"知性・学習,育成・支援,困難・停滞"
hex_05,六十四卦,-,水天需,"内省・静観,持続・安定,戦略・計画"
hex_06,六十四卦,-,天水訟,"葛藤・矛盾,正義・改善,困難・停滞"
hex_07,六十四卦,-,地水師,"リーダーシップ,構造化・秩序,奉仕・貢献,権威・支配,追従・服従"
hex_08,六十四卦,-,水地比,"調和・平和,社交性・人脈,奉仕・貢献"
hex_09,六十四卦,-,風天小畜,"困難・停滞,持続・安定,受動・待機"
hex_10,六十四卦,-,天澤履,"挑戦・困難,構造化・秩序,慎重さ"
hex_11,六十四卦,-,地天泰,"調和・平和,成長・発展,共感・受容"
hex_12,六十四卦,-,天地否,"困難・停滞,内省・静観"
hex_13,六十四卦,-,天火同人,"社交性・人脈,リーダーシップ,奉仕・貢献"
hex_14,六十四卦,-,火天大有,"実行・達成,リーダーシップ,成長・発展,富・豊かさ"
hex_15,六十四卦,-,地山謙,"奉仕・貢献,調和・平和,内省・静観,分配・贈与"
hex_16,六十四卦,-,雷地豫,"調和・平和,表現・伝達,成長・発展"
hex_17,六十四卦,-,沢雷随,"追従・服従,調和・平和,変動・転換"
hex_18,六十四卦,-,山風蠱,"困難・停滞,正義・改善,自己変容・脱皮"
hex_19,六十四卦,-,地沢臨,"リーダーシップ,成長・発展,育成・支援,母性・慈愛"
hex_20,六十四卦,-,風地観,"内省・静観,先見・大局観,直感・感性"
hex_21,六十四卦,-,火雷噬嗑,"正義・改善,困難・停滞,権威・支配"
hex_22,六十四卦,-,山火賁,"美的感覚・洗練,表現・伝達,本質・真実"
hex_23,六十四卦,-,山地剝,"困難・停滞,自己変容・脱皮,本質・真実,損失・浪費"
hex_24,六十四卦,-,地雷復,"始動・萌芽,循環・継続,内省・静観"
hex_25,六十四卦,-,天雷无妄,"本質・真実,直感・感性,受動・待機"
hex_26,六十四卦,-,山天大畜,"持続・安定,育成・支援,富・豊かさ"
hex_27,六十四卦,-,山雷頤,"育成・支援,内省・静観,持続・安定"
hex_28,六十四卦,-,澤風大過,"困難・停滞,挑戦・困難,変動・転換,特殊・異端"
hex_29,六十四卦,-,坎為水,"困難・停滞,内省・静観,本質・真実,分析・探求"
hex_30,六十四卦,-,離為火,"知性・学習,表現・伝達,美的感覚・洗練,依存・付着"
hex_31,六十四卦,-,沢山咸,"共感・受容,感情・情熱,直感・感性,始動・萌芽"
hex_32,六十四卦,-,雷風恒,"循環・継続,持続・安定,調和・平和"
hex_33,六十四卦,-,天山遯,"内省・静観,戦略・計画,困難・停滞"
hex_34,六十四卦,-,雷天大壮,"実行・達成,権威・支配,挑戦・困難,富・豊かさ"
hex_35,六十四卦,-,火地晋,"成長・発展,表現・伝達,リーダーシップ,奉仕・貢献"
hex_36,六十四卦,-,地火明夷,"困難・停滞,内省・静観,秘密・潜在"
hex_37,六十四卦,-,風火家人,"家族・家庭,構造化・秩序,父性・厳格,母性・慈愛"
hex_38,六十四卦,-,火沢睽,"葛藤・矛盾,困難・停滞"
hex_39,六十四卦,-,水山蹇,"困難・停滞,内省・静観,戦略・計画"
hex_40,六十四卦,-,雷水解,"困難・停滞,実行・達成,正義・改善"
hex_41,六十四卦,-,山沢損,"損失・浪費,自己変容・脱皮,奉仕・貢献,分配・贈与"
hex_42,六十四卦,-,風雷益,"成長・発展,奉仕・貢献,知性・学習,富・豊かさ,分配・贈与"
hex_43,六十四卦,-,沢天夬,"リーダーシップ,実行・達成,変動・転換,権威・支配"
hex_44,六十四卦,-,天風姤,"変動・転換,直感・感性,秘密・潜在,葛藤・矛盾"
hex_45,六十四卦,-,沢地萃,"社交性・人脈,リーダーシップ,奉仕・貢献,追従・服従"
hex_46,六十四卦,-,地風升,"成長・発展,持続・安定,育成・支援"
hex_47,六十四卦,-,沢水困,"困難・停滞,内省・静観,本質・真実"
hex_48,六十四卦,-,水風井,"奉仕・貢献,持続・安定,本質・真実,循環・継続"
hex_49,六十四卦,-,沢火革,"変動・転換,創造・革新,リーダーシップ"
hex_50,六十四卦,-,火風鼎,"構造化・秩序,育成・支援,奉仕・貢献"
hex_51,六十四卦,-,震為雷,"変動・転換,挑戦・困難,実行・達成"
hex_52,六十四卦,-,艮為山,"内省・静観,困難・停滞,持続・安定,受動・待機"
hex_53,六十四卦,-,風山漸,"成長・発展,持続・安定,構造化・秩序,家族・家庭"
hex_54,六十四卦,-,雷沢帰妹,"困難・停滞,構造化・秩序,感情・情熱,家族・家庭"
hex_55,六十四卦,-,雷火豊,"完成・集大成,リーダーシップ,成長・発展"
hex_56,六十四卦,-,火山旅,"内省・静観,困難・停滞,葛藤・矛盾,放浪・自由,特殊・異端"
hex_57,六十四卦,-,巽為風,"内省・静観,表現・伝達,追従・服従"
hex_58,六十四卦,-,兑為沢,"調和・平和,表現・伝達,社交性・人脈"
hex_59,六十四卦,-,風水渙,"リーダーシップ,表現・伝達,困難・停滞"
hex_60,六十四卦,-,水沢節,"構造化・秩序,内省・静観,持続・安定"
hex_61,六十四卦,-,風沢中孚,"本質・真実,共感・受容,正義・改善"
hex_62,六十四卦,-,雷山小過,"内省・静観,構造化・秩序,損失・浪費,正義・改善"
hex_63,六十四卦,-,水火既済,"完成・集大成,構造化・秩序,困難・停滞"
hex_64,六十四卦,-,火水未済,"始動・萌芽,変動・転換,挑戦・困難"
line_01_1,六爻,hex_01,初九：潜龍勿用,"内省・静観,困難・停滞,秘密・潜在,受動・待機"
line_01_2,六爻,hex_01,九二：見龍在田,"成長・発展,育成・支援,奉仕・貢献,始動・萌芽"
line_01_3,六爻,hex_01,九三：終日乾乾,"実行・達成,挑戦・困難,内省・静観,持続・安定"
line_01_4,六爻,hex_01,九四：或躍在淵,"変動・転換,挑戦・困難,戦略・計画"
line_01_5,六爻,hex_01,九五：飛龍在天,"リーダーシップ,実行・達成,完成・集大成,富・豊かさ"
line_01_6,六爻,hex_01,上九：亢龍有悔,"損失・浪費,困難・停滞,葛藤・矛盾"
line_02_1,六爻,hex_02,初六：履霜堅氷至,"始動・萌芽,困難・停滞,先見・大局観"
line_02_2,六爻,hex_02,六二：直方大,"本質・真実,持続・安定,成長・発展,母性・慈愛"
line_02_3,六爻,hex_02,六三：含章可貞,"秘密・潜在,内省・静観,持続・安定"
line_02_4,六爻,hex_02,六四：括嚢无咎,"秘密・潜在,受動・待機,慎重さ"
line_02_5,六爻,hex_02,六五：黄裳元吉,"母性・慈愛,奉仕・貢献,富・豊かさ,調和・平和"
line_02_6,六爻,hex_02,上六：龍戦于野,"葛藤・矛盾,挑戦・困難,損失・浪費"
line_03_1,六爻,hex_03,初九：磐桓,"困難・停滞,戦略・計画,持続・安定"
line_03_2,六爻,hex_03,六二：屯如邅如,"困難・停滞,葛藤・矛盾,変動・転換"
line_03_3,六爻,hex_03,六三：即鹿无虞,"挑戦・困難,損失・浪費,戦略・計画"
line_03_4,六爻,hex_03,六四：乗馬班如,"奉仕・貢献,交渉・取引,葛藤・矛盾"
line_03_5,六爻,hex_03,九五：屯其膏,"富・豊かさ,分配・贈与,困難・停滞"
line_03_6,六爻,hex_03,上六：泣血漣如,"困難・停滞,損失・浪費,感情・情熱"
line_04_1,六爻,hex_04,初六：発蒙,"知性・学習,構造化・秩序,始動・萌芽"
line_04_2,六爻,hex_04,九二：包蒙,"育成・支援,母性・慈愛,共感・受容"
line_04_3,六爻,hex_04,六三：勿用取女,"葛藤・矛盾,損失・浪費,自己変容・脱皮"
line_04_4,六爻,hex_04,六四：困蒙,"困難・停滞,知性・学習,孤立"
line_04_5,六爻,hex_04,六五：童蒙,"追従・服従,知性・学習,本質・真実"
line_04_6,六爻,hex_04,上九：撃蒙,"権威・支配,正義・改善,父性・厳格"
line_05_1,六爻,hex_05,初九：需于郊,"受動・待機,持続・安定,内省・静観"
line_05_2,六爻,hex_05,九二：需于沙,"受動・待機,葛藤・矛盾,内省・静観"
line_05_3,六爻,hex_05,九三：需于泥,"受動・待機,困難・停滞,挑戦・困難"
line_05_4,六爻,hex_05,六四：需于血,"困難・停滞,自己変容・脱皮,挑戦・困難"
line_05_5,六爻,hex_05,九五：需于酒食,"富・豊かさ,調和・平和,完成・集大成"
line_05_6,六爻,hex_05,上六：入于穴,"困難・停滞,変動・転換,受動・待機"
line_06_1,六爻,hex_06,初六：不永所事,"葛藤・矛盾,内省・静観,戦略・計画"
line_06_2,六爻,hex_06,九二：不克訟,"困難・停滞,損失・浪費,受動・待機"
line_06_3,六爻,hex_06,六三：食旧徳,"持続・安定,受動・待機,富・豊かさ"
line_06_4,六爻,hex_06,九四：復即命,"自己変容・脱皮,戦略・計画,持続・安定"
line_06_5,六爻,hex_06,九五：訟元吉,"正義・改善,リーダーシップ,権威・支配"
line_06_6,六爻,hex_06,上九：或錫之鞶帯,"権威・支配,損失・浪費,変動・転換"
line_07_1,六爻,hex_07,初六：師出以律,"構造化・秩序,始動・萌芽,実行・達成"
line_07_2,六爻,hex_07,九二：在師中,"リーダーシップ,権威・支配,調和・平和"
line_07_3,六爻,hex_07,六三：師或輿尸,"損失・浪費,困難・停滞,リーダーシップ"
line_07_4,六爻,hex_07,六四：師左次,"戦略・計画,受動・待機,内省・静観"
line_07_5,六爻,hex_07,六五：田有禽,"正義・改善,権威・支配,実行・達成"
line_07_6,六爻,hex_07,上六：大君有命,"完成・集大成,分配・贈与,構造化・秩序"
line_08_1,六爻,hex_08,初六：有孚比之,"本質・真実,始動・萌芽,共感・受容"
line_08_2,六爻,hex_08,六二：比之自内,"内省・静観,本質・真実,追従・服従"
line_08_3,六爻,hex_08,六三：比之匪人,"葛藤・矛盾,損失・浪費,社交性・人脈"
line_08_4,六爻,hex_08,六四：外比之,"社交性・人脈,追従・服従,奉仕・貢献"
line_08_5,六爻,hex_08,九五：顕比,"リーダーシップ,分配・贈与,表現・伝達"
line_08_6,六爻,hex_08,上六：比之无首,"困難・停滞,始動・萌芽,葛藤・矛盾"
line_09_1,六爻,hex_09,初九：復自道,"自己変容・脱皮,正義・改善,内省・静観"
line_09_2,六爻,hex_09,九二：牽復,"追従・服従,困難・停滞,調和・平和"
line_09_3,六爻,hex_09,九三：輿説輻,"葛藤・矛盾,困難・停滞,家族・家庭"
line_09_4,六爻,hex_09,六四：有孚血去,"本質・真実,困難・停滞,自己変容・脱皮"
line_09_5,六爻,hex_09,九五：有孚攣如,"富・豊かさ,調和・平和,奉仕・貢献"
line_09_6,六爻,hex_09,上九：既雨既処,"完成・集大成,持続・安定,富・豊かさ"
line_10_1,六爻,hex_10,初九：素履往,"本質・真実,実行・達成,始動・萌芽"
line_10_2,六爻,hex_10,九二：履道坦坦,"内省・静観,持続・安定,調和・平和"
line_10_3,六爻,hex_10,六三：眇能視,"困難・停滞,挑戦・困難,権威・支配"
line_10_4,六爻,hex_10,九四：履虎尾,"挑戦・困難,戦略・計画,権威・支配"
line_10_5,六爻,hex_10,九五：夬履,"リーダーシップ,実行・達成,正義・改善"
line_10_6,六爻,hex_10,上九：視履考祥,"完成・集大成,内省・静観,先見・大局観"
line_11_1,六爻,hex_11,初九：拔茅茹,"始動・萌芽,成長・発展,社交性・人脈"
line_11_2,六爻,hex_11,九二：包荒,"共感・受容,母性・慈愛,リーダーシップ"
line_11_3,六爻,hex_11,九三：无平不陂,"変動・転換,持続・安定,挑戦・困難"
line_11_4,六爻,hex_11,六四：翩翩,"追従・服従,社交性・人脈,奉仕・貢献"
line_11_5,六爻,hex_11,六五：帝乙帰妹,"富・豊かさ,調和・平和,完成・集大成"
line_11_6,六爻,hex_11,上六：城復于隍,"損失・浪費,困難・停滞,変動・転換"
line_12_1,六爻,hex_12,初六：拔茅茹,"困難・停滞,追従・服従,社交性・人脈"
line_12_2,六爻,hex_12,六二：包承,"困難・停滞,奉仕・貢献,受動・待機"
line_12_3,六爻,hex_12,六三：包羞,"困難・停滞,秘密・潜在,内省・静観"
line_12_4,六爻,hex_12,九四：有命无咎,"実行・達成,リーダーシップ,始動・萌芽"
line_12_5,六爻,hex_12,九五：休否,"変動・転換,戦略・計画,リーダーシップ"
line_12_6,六爻,hex_12,上九：傾否,"完成・集大成,変動・転換,創造・革新"
line_13_1,六爻,hex_13,初九：同人于門,"始動・萌芽,社交性・人脈,調和・平和"
line_13_2,六爻,hex_13,六二：同人于宗,"特殊・異端,葛藤・矛盾,損失・浪費"
line_13_3,六爻,hex_13,九三：伏戎于莽,"秘密・潜在,戦略・計画,葛藤・矛盾"
line_13_4,六爻,hex_13,九四：乗其墉,"挑戦・困難,自己変容・脱皮,葛藤・矛盾"
line_13_5,六爻,hex_13,九五：同人先號,"葛藤・矛盾,完成・集大成,リーダーシップ"
line_13_6,六爻,hex_13,上九：同人于郊,"完成・集大成,調和・平和,内省・静観"
line_14_1,六爻,hex_14,初九：无交害,"内省・静観,困難・停滞,自己変容・脱皮"
line_14_2,六爻,hex_14,九二：大車以載,"富・豊かさ,実行・達成,戦略・計画"
line_14_3,六爻,hex_14,九三：公用亨于天子,"奉仕・貢献,権威・支配,分配・贈与"
line_14_4,六爻,hex_14,九四：匪其彭,"内省・静観,本質・真実,自己変容・脱皮"
line_14_5,六爻,hex_14,六五：厥孚交如,"共感・受容,調和・平和,本質・真実"
line_14_6,六爻,hex_14,上九：自天祐之,"富・豊かさ,完成・集大成,直感・感性"
line_15_1,六爻,hex_15,初六：謙謙君子,"内省・静観,本質・真実,始動・萌芽"
line_15_2,六爻,hex_15,六二：鳴謙,"表現・伝達,本質・真実,調和・平和"
line_15_3,六爻,hex_15,九三：労謙君子,"実行・達成,奉仕・貢献,持続・安定"
line_15_4,六爻,hex_15,六四：无不利捴謙,"分配・贈与,実行・達成,表現・伝達"
line_15_5,六爻,hex_15,六五：不富以其鄰,"分配・贈与,奉仕・貢献,調和・平和"
line_15_6,六爻,hex_15,上六：鳴謙利用行師,"リーダーシップ,正義・改善,権威・支配"
line_16_1,六爻,hex_16,初六：鳴豫,"損失・浪費,感情・情熱,表現・伝達"
line_16_2,六爻,hex_16,六二：介于石,"持続・安定,内省・静観,本質・真実"
line_16_3,六爻,hex_16,六三：盱豫,"受動・待機,損失・浪費,追従・服従"
line_16_4,六爻,hex_16,九四：由豫,"リーダーシップ,社交性・人脈,創造・革新"
line_16_5,六爻,hex_16,六五：貞疾,"困難・停滞,持続・安定,内省・静観"
line_16_6,六爻,hex_16,上六：冥豫,"自己変容・脱皮,変動・転換,損失・浪費"
line_17_1,六爻,hex_17,初九：官有渝,"変動・転換,リーダーシップ,正義・改善"
line_17_2,六爻,hex_17,六二：係小子,"損失・浪費,追従・服従,特殊・異端"
line_17_3,六爻,hex_17,六三：係丈夫,"自己変容・脱皮,追従・服従,本質・真実"
line_17_4,六爻,hex_17,九四：随有獲,"権威・支配,富・豊かさ,損失・浪費"
line_17_5,六爻,hex_17,九五：孚于嘉,"本質・真実,リーダーシップ,調和・平和"
line_17_6,六爻,hex_17,上六：拘係之,"完成・集大成,追従・服従,秘密・潜在"
line_18_1,六爻,hex_18,初六：幹父之蠱,"父性・厳格,正義・改善,始動・萌芽"
line_18_2,六爻,hex_18,九二：幹母之蠱,"母性・慈愛,正義・改善,内省・静観"
line_18_3,六爻,hex_18,九三：幹父之蠱,"父性・厳格,正義・改善,実行・達成"
line_18_4,六爻,hex_18,六四：裕父之蠱,"父性・厳格,困難・停滞,損失・浪費"
line_18_5,六爻,hex_18,六五：幹父之蠱,"父性・厳格,正義・改善,リーダーシップ"
line_18_6,六爻,hex_18,上九：不事王侯,"特殊・異端,奉仕・貢献,完成・集大成"
line_19_1,六爻,hex_19,初九：咸臨,"リーダーシップ,共感・受容,始動・萌芽"
line_19_2,六爻,hex_19,九二：咸臨,"リーダーシップ,共感・受容,実行・達成"
line_19_3,六爻,hex_19,六三：甘臨,"損失・浪費,感情・情熱,リーダーシップ"
line_19_4,六爻,hex_19,六四：至臨,"追従・服従,奉仕・貢献,実行・達成"
line_19_5,六爻,hex_19,六五：知臨,"知性・学習,リーダーシップ,権威・支配"
line_19_6,六爻,hex_19,上六：敦臨,"母性・慈愛,奉仕・貢献,完成・集大成"
line_20_1,六爻,hex_20,初六：童観,"内省・静観,知性・学習,未熟"
line_20_2,六爻,hex_20,六二：闚観,"内省・静観,秘密・潜在,特殊・異端"
line_20_3,六爻,hex_20,六三：観我生,"自己変容・脱皮,内省・静観,戦略・計画"
line_20_4,六爻,hex_20,六四：観国之光,"社交性・人脈,奉仕・貢献,権威・支配"
line_20_5,六爻,hex_20,九五：観我生,"リーダーシップ,内省・静観,自己変容・脱皮"
line_20_6,六爻,hex_20,上九：観其生,"内省・静観,先見・大局観,完成・集大成"
line_21_1,六爻,hex_21,初九：屨校滅趾,"正義・改善,始動・萌芽,困難・停滞"
line_21_2,六爻,hex_21,六二：噬膚滅鼻,"正義・改善,実行・達成,困難・停滞"
line_21_3,六爻,hex_21,六三：噬臘肉,"葛藤・矛盾,困難・停滞,挑戦・困難"
line_21_4,六爻,hex_21,九四：噬乾胏,"挑戦・困難,実行・達成,富・豊かさ"
line_21_5,六爻,hex_21,六五：噬乾肉,"正義・改善,戦略・計画,富・豊かさ"
line_21_6,六爻,hex_21,上九：荷校滅耳,"損失・浪費,困難・停滞,完成・集大成"
line_22_1,六爻,hex_22,初九：賁其趾,"美的感覚・洗練,本質・真実,始動・萌芽"
line_22_2,六爻,hex_22,六二：賁其須,"美的感覚・洗練,追従・服従,依存・付着"
line_22_3,六爻,hex_22,九三：賁如濡如,"美的感覚・洗練,富・豊かさ,持続・安定"
line_22_4,六爻,hex_22,六四：賁如皤如,"本質・真実,自己変容・脱皮,特殊・異端"
line_22_5,六爻,hex_22,六五：賁于丘園,"美的感覚・洗練,富・豊かさ,奉仕・貢献"
