爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
坤為地 六五,12,2,六五,黄裳元吉 （こうしょうげんきち） 意味：黄色い下衣（日常着）を着ている。大いに吉。,最高の地位にありながらも、派手さを好まず、質素で実直な態度を保つ。内面の充実と謙虚さが、最高の幸運を招く。,大勝ちパターン,2,"謙虚, 質実剛健, 徳",坤為地,"中庸の徳, 元吉, 吉, 徳, 最高の補佐役, 謙虚, 質実剛健, 黄裳",92,45,56,35,受動,32,52,"状況:絶頂期, 力学:協力者なし, 心理:謙虚"
坤為地 上六,13,2,上六,龍戦于野、其血玄黄 （りゅうせんうや、そのちげんこう） 意味：龍が野で戦う。その血は黒く黄色い。,陰の受容性が極まり、陽と対立して、収拾のつかない混乱と争いが生じる。双方ともに大きなダメージを受ける消耗戦。,破滅パターン,-2,"対立, 混乱, 共倒れ",坤為地,"両者敗北, 争い, 共倒れ, 対立, 混乱, 限界突破, 陰の極み, 龍戦",17,35,32,55,受動,56,28,"状況:終極期, 力学:協力者なし"
坤為地 用六,14,2,用六,利永貞 （りえいてい） 意味：永く正しくしているのが良い。,陰の徳の理想形。常に従順で、正しい道を地道に守り続けることで、長期的な利益と安定を得る。,勝ちパターン,1,"持続, 堅実, 忍耐",坤為地,"堅実, 忍耐, 持続",50,25,40,25,中立,40,40,
水雷屯 初九,15,3,初九,磐桓、利居貞、利建侯 （ばんかん、ていにおるによろし、こうをたつるによろし） 意味：岩が塞がり進めない。留まり、正しくして、協力者を立てるのが良い。,物事の始まりで、障害があり進めない。軽率に動かず、その場で正しく耐えながら、将来のための仲間や支援者を見つけるべき時。,停滞・中立パターン,0,"待機, 準備, 協力者",水雷屯,"協力者, 待機, 準備",58,65,48,45,受動,44,52,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
水雷屯 六二,16,3,六二,屯如、邅如、乗馬班如。…十年乃字 （ちゅんじょ、てんじょ、じょうばはんじょ。…じゅうねんにしてすなわちじす） 意味：悩み、ためらい、馬も進まない。…10年待ってようやく嫁ぐ。,困難が続き、進むも退くもできない状況。求婚者が現れてもすぐには応じず、長く正しさを守り抜けば、最終的には良い結果となる。,やや破滅パターン,-1,"停滞, 忍耐, 困難",水雷屯,"停滞, 困難, 忍耐",50,55,76,25,受動,20,70,"状況:困窮状態, 状況:安定期, 状況:産みの苦しみ, 力学:協力者あり"
水雷屯 六三,17,3,六三,即鹿无虞、惟入于林中。…不如舎、往吝 （しかにつくにしぐなし、ただりんちゅうにいる。…しくにはあらず、ゆけばりん） 意味：案内人なしに鹿を追えば、ただ林の中で迷うだけだ。諦めるのが良い。進めば恥をかく。,案内人（指導者）もなしに、ただ利益（鹿）だけを追って進むと、道に迷い、行き詰まる。無謀な前進はやめ、一旦立ち止まるべき時。,やや破滅パターン,-1,"無謀, 計画不足, 撤退",水雷屯,"撤退, 無謀, 計画不足",25,25,24,65,受動,60,16,"状況:移行期, 力学:協力者なし"
水雷屯 六四,18,3,六四,乗馬班如、求婚媾。往吉、无不利 （じょうばはんじょ、こんいんをもとむ。ゆけばきち、ふりなきなし） 意味：馬も進まないが、結婚を求める。進めば吉であり、悪いことは何もない。,困難な状況だが、身分の合った協力者を求め、共に進むなら、万事うまくいく。困難を打開するには、正しいパートナーシップが鍵となる。,勝ちパターン,1,"協力, パートナー, 打開",水雷屯,"パートナー, 協力, 吉, 打開",75,50,68,25,受動,36,64,"状況:困窮状態, 状況:変革期, 力学:協力者あり, 力学:順当な力関係"
水雷屯 九五,19,3,九五,屯其膏。小貞吉、大貞凶 （そのこうにとんす。しょうていきち、だいていきょう） 意味：恩恵を施すのに苦労する。小さなことなら正しくして吉だが、大きなことでは正しくしても凶。,高い地位にいるが、その恩恵を広く施すことができない。自分の周りの小さな範囲で物事を行うなら良いが、大きな事業を行おうとすると失敗する。,やや破滅パターン,-1,"器量不足, 限定的成功",水雷屯,"凶, 吉, 器量不足, 限定的成功",50,75,64,65,能動,24,56,"状況:産みの苦しみ, 状況:絶頂期, 力学:下剋上リスク, 力学:協力者あり, 心理:正道堅持"
水雷屯 上六,20,3,上六,乗馬班如、泣血漣如 （じょうばはんじょ、きゅうけつれんじょ） 意味：馬も進まず、血の涙を流す。,産みの苦しみが極まり、どうにもならない状況。助けもなく、ただ嘆き悲しむしかない。完全な行き詰まり。,破滅パターン,-2,"絶望, 行き詰まり",水雷屯,"絶望, 行き詰まり",17,25,32,55,受動,56,24,"状況:終極期, 力学:協力者なし"
山水蒙 初六,21,4,初六,発蒙。利用刑人。用脱桎梏。以往吝。 （はつもう。けいじんをもちうるによろし。しっこくをときもちう。もってゆけばりん。） 意味：蒙昧を開く。刑罰で正し、足枷を外すのが良い。そのまま進むと恥。,学びの始まり。時には厳しく規律を持って指導し、悪癖（桎梏）を断ち切らせる必要がある。しかし、厳しさだけに頼ると、後で問題が生じる。,停滞・中立パターン,0,"教育, 規律, 始まり",山水蒙,"始まり, 教育, 規律",50,35,48,45,受動,44,40,"状況:黎明期, 力学:協力者なし, 力学:順当な力関係"
山水蒙 九二,22,4,九二,包蒙。吉。納婦吉。子克家。 （ほうもう。きち。ふをいれるきち。こよくいえをおさむ。） 意味：蒙昧な者を包容する。吉。妻を迎えれば吉。子が家を治められる。,未熟な者を寛大な心で包み込み、忍耐強く指導する理想的な教育者の姿。その結果、教えを受けた者は大いに成長し、組織や家庭は安泰となる。,大勝ちパターン,2,"師, 包容力, 育成",山水蒙,"包容力, 吉, 師, 育成",92,70,56,45,能動,36,58,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり, 心理:忍耐"
山水蒙 六三,23,4,六三,勿用取女。見金夫。不有躬。无攸利。 （じょをとるをもちうるなかれ。きんぷをみる。みをたもたず。りするところなし。） 意味：その女を妻にしてはならない。金持ちの男を見ると自分を見失う。何の利益もない。,学びの途中で、楽な道や表面的な魅力（金夫）に惹かれ、本来の目的を見失う危険性。不適切な師や情報源に安易に追随すれば、何も得られない。,やや破滅パターン,-1,"誘惑, 虚飾, 選択ミス",山水蒙,"虚飾, 誘惑, 選択ミス",25,50,36,45,受動,36,40,"状況:移行期, 状況:組織戦, 力学:協力者あり, アクション:現状維持"
山水蒙 六四,24,4,六四,困蒙。吝。 （こんもう。りん。） 意味：蒙昧な状態に閉じこもる。恥ずかしいことだ。,未熟であるにもかかわらず、学ぶことを放棄し、自分の殻に閉じこもっている状態。助言を拒み、孤立することで、成長の機会を完全に失う。,やや破滅パターン,-1,"停滞, 孤立, 無知",山水蒙,"停滞, 孤立, 無知",42,25,48,45,受動,56,36,"状況:困窮状態, 状況:変革期, 力学:協力者なし"
山水蒙 六五,25,4,六五,童蒙。吉。 （どうもう。きち。） 意味：素直な子ども（のように学ぶ）。吉。,純粋で素直な心で、謙虚に教えを受け入れる理想的な学習者の姿。この「知を求める素直さ」そのものが、大きな幸運を呼び込む。,勝ちパターン,1,"素直さ, 謙虚, 学び",山水蒙,"吉, 学び, 素直さ, 謙虚",75,60,76,25,受動,12,72,"状況:絶頂期, 力学:協力者あり, 力学:順当な力関係, 心理:謙虚"
山水蒙 上九,26,4,上九,撃蒙。不利為寇。利禦寇。 （げきもう。こうとなるにふり。こうをふせぐによろし。） 意味：蒙昧な者を撃つ。賊となるのは良くない。賊を防ぐのが良い。,長く蒙昧な状態が続く場合、厳しい態度で強制的に覚醒させる必要がある。ただし、それは相手を破壊するためではなく、蒙昧さがもたらす害を防ぐための、最終手段であるべき。,停滞・中立パターン,0,"最終手段, 覚醒, 規律",山水蒙,"最終手段, 規律, 覚醒",42,65,36,55,能動,56,42,"状況:終極期, 力学:協力者あり"
水天需 初九,27,5,初九,需于郊。利用恒。无咎。 （じゅうこうにあり。つねをもちうるによろし。とがなし。） 意味：郊外で待つ。常に変わらぬ心でいるのが良い。咎めはない。,危険から遠い安全な場所で、焦らずじっくりと準備を整える段階。冷静に状況を観察し、自己の信念を保てば、問題なく過ごせる。,停滞・中立パターン,0,"待機, 準備, 慎重",水天需,"問題なし, 待機, 慎重, 準備",58,65,60,25,受動,40,66,"状況:黎明期, 力学:協力者あり, アクション:準備"
水天需 九二,28,5,九二,需于沙。小有言。終吉。 （じゅうさにあリ。すこしげんあり。おわりにきち。） 意味：砂地で待つ。少し言葉があるが、最終的には吉。,危険に少し近づき、小さな問題や批判（小有言）が生じる時期。しかし、それに惑わされず、着実に準備を進めれば、良い結果に繋がる。,勝ちパターン,1,"忍耐, 雑音, 漸進",水天需,"吉, 忍耐, 漸進, 雑音",75,55,56,35,受動,32,56,"状況:安定期, 力学:協力者なし, アクション:準備"
水天需 九三,29,5,九三,需于泥。致寇至。 （じゅうでいにあり。こうをいたすにいたる。） 意味：泥沼で待つ。賊を引き寄せる。,危険な状況に深入りし、身動きが取れない泥沼の状態。準備不足や判断ミスが、外部からの攻撃やさらなるトラブルを引き寄せる。,破滅パターン,-2,"危機, 泥沼, 危険",水天需,"危機, 危険, 泥沼",17,55,32,75,受動,76,28,"状況:移行期, 力学:下剋上リスク, 力学:協力者あり, アクション:準備"
水天需 六四,30,5,六四,需于血。出自穴。 （じゅうけつにあり。あなよりいず。） 意味：血の中で待つ。穴から脱出する。,生死を分けるような極限の危機的状況。大きな犠牲や痛みを伴うが、それを乗り越え、危機から脱出することができる。,勝ちパターン,1,"危機脱出, 犠牲, 転換点",水天需,"危機脱出, 犠牲, 転換点",75,40,68,25,受動,48,60,"状況:変革期, 力学:協力者あり, 力学:順当な力関係"
水天需 九五,31,5,九五,需于酒食。貞吉。 （じゅうしゅしょくにあり。ていきち。） 意味：酒や食事を楽しみながら待つ。正しくしていれば吉。,長い待機期間が終わり、状況が安定する。本格的な行動の前に、休息を取り、英気を養う時期。油断せず正しい姿勢を保てば安泰。,大勝ちパターン,2,"安定, 休息, 祝賀",水天需,"休息, 吉, 安定, 祝賀",100,60,52,55,受動,36,48,"状況:絶頂期, 力学:下剋上リスク, 力学:協力者なし, 心理:正道堅持"
水天需 上六,32,5,上六,入于穴。有不速之客三人至。敬之終吉。 （あなにいる。はやからざるのきゃくさんにんいたるあり。これをけいすとおわりにきち。） 意味：穴に入る（危機を脱する）。招かれざる客が三人来る。敬って接すれば最終的に吉。,危機から完全に脱し、目標を達成した段階。しかし、予期せぬ新たな課題や協力者が現れる。謙虚な姿勢で対応すれば、更なる成功に繋がる。,勝ちパターン,1,"完了, 新展開, 敬意",水天需,"吉, 完了, 敬意, 新展開",67,40,44,45,受動,44,40,"状況:終極期, 力学:協力者あり, 心理:謙虚"
天水訟 初六,33,6,初六,不永所事。小有言。終吉。 （しょじをながくせず。すこしげんあり。おわりにきち。） 意味：争いを長引かせない。少し口論はあるが、最終的には吉。,争いの初期段階。問題を長引かせず、早期に解決することが重要。小さな摩擦はあっても、迅速な対話で対処すれば、良い結果に繋がる。,勝ちパターン,1,"早期解決, 対話, 口論",天水訟,"口論, 吉, 対話, 早期解決",67,40,60,25,受動,32,56,"状況:黎明期, 力学:協力者あり, 力学:順当な力関係"
天水訟 九二,34,6,九二,不克訟。帰而逋其邑人三百戸。无眚。 （しょうにかつことあたわず。かえりてそのゆうじんさんびゃっこににぐ。わざわいなし。） 意味：争いに勝てない。郷里に帰り、三百戸の民と難を避ける。災いはない。,自分に不利な争いからは、潔く身を引くべき時。目先の勝敗より、大切な共同体を守ることを優先する、賢明な撤退。,停滞・中立パターン,0,"撤退, 守り, 損失回避",天水訟,"守り, 損失回避, 撤退",58,55,44,55,能動,48,42,"状況:安定期, 状況:対立構造, 力学:下剋上リスク, 力学:協力者なし"
天水訟 六三,35,6,六三,食旧徳。貞厲。終吉。 （きゅうとくをくらう。ていあやうし。おわりにきち。） 意味：昔の徳で食いつなぐ。正しくしていれば危ういが、最終的には吉。,現在の困難を、過去の実績や信頼（旧徳）でなんとか乗り切っている状態。現状維持で精一杯だが、正しく耐え忍べば、破綻は免れる。,停滞・中立パターン,0,"過去の実績, 現状維持, 忍耐",天水訟,"リスクあり, 吉, 忍耐, 現状維持, 過去の実績",42,40,44,60,受動,28,34,"状況:困窮状態, 状況:移行期, 力学:協力者あり, 力学:順当な力関係, 心理:正道堅持"
天水訟 九四,36,6,九四,不克訟。復即命。渝安貞。吉。 （しょうにかつことあたわず。めいにふくしてかえる。やすんじてかわるはていにきち。） 意味：争いに勝てない。天命に従って引き返す。心を変え、安んじて正しくしていれば吉。,争いの不利を悟り、自ら積極的に譲歩する決断。プライドに固執せず、方針を柔軟に転換することで、状況が好転し、安定を取り戻せる。,勝ちパターン,1,"方針転換, 譲歩, 柔軟性",天水訟,"吉, 方針転換, 柔軟性, 譲歩",67,55,52,25,能動,32,58,"状況:変革期, 状況:対立構造, 力学:協力者あり, 心理:正道堅持"
天水訟 九五,37,6,九五,訟元吉。 （しょうげんきち。） 意味：争いの結果、大いに吉。,争いが、正義に基づいた公平な判断によって解決される。自身の正当性が認められ、信頼を確立できる、最高の解決。,大勝ちパターン,2,"公正な裁き, 勝利, 正義",天水訟,"公正な裁き, 勝利, 吉, 正義",100,60,64,35,能動,32,62,"状況:対立構造, 状況:絶頂期, 力学:協力者なし"
天水訟 上九,38,6,上九,或錫之鞶帯。終朝三褫之。 （あるいはこれにはんたいをたまう。しゅうちょうこれをみたびうばう。） 意味：あるいは（争いに勝って）高位の帯を賜るが、一日のうちに三度もそれを剥奪される。,行き過ぎた争いや、不当な手段で勝利した者の末路。一時的に名誉を得ても、すぐに失い、社会的な信用を完全に失う、最悪の結末。,破滅パターン,-2,"虚飾の勝利, 権威失墜, 破滅",天水訟,"権威失墜, 破滅, 虚飾の勝利",8,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
地水師 初六,39,7,初六,師出以律。否臧凶。 （しをいずすにりつをもってす。しからずんばぞうにしてきょう。） 意味：軍隊は規律をもって出陣する。そうでなければ凶。,組織やプロジェクトの始動には、明確なルールと規律が不可欠。規律が曖昧なら、どんなに良い目的でも必ず失敗する、という根本原則。,停滞・中立パターン,0,"規律, 秩序, 準備",地水師,"凶, 準備, 秩序, 規律",50,25,48,55,受動,56,32,"状況:停滞期, 状況:組織戦, 状況:黎明期, 力学:協力者なし, 力学:順当な力関係"
地水師 九二,40,7,九二,在師中。吉。无咎。王三錫命。 （しにあってちゅうす。きち。とがなし。おうみたびめいをたまう。） 意味：軍隊の中央にいる。吉。咎めなし。王は三度も命を賜る。,組織の中核を担う、実力と人望を兼ね備えた理想的な現場リーダー。トップからの信頼も厚く、大きな権限を委ねられ、組織を勝利に導く。,大勝ちパターン,2,"リーダーシップ, 信頼, 中核",地水師,"リーダーシップ, 中核, 信頼, 吉, 問題なし",92,70,56,45,能動,36,58,"状況:安定期, 状況:組織戦, 力学:下剋上リスク, 力学:協力者あり"
地水師 六三,41,7,六三,師或載尸。凶。 （しあるいはしかばねをのす。きょう。） 意味：軍隊が死体を運ぶ。凶。,組織内に無能な人物や、やる気のない者（尸＝しかばね）が重要な地位にいる。組織が腐敗し、機能不全に陥っている、極めて危険な状態。,破滅パターン,-2,"無能, 腐敗, 混乱",地水師,"凶, 混乱, 無能, 腐敗",8,25,24,75,受動,60,12,"状況:移行期, 状況:組織戦, 力学:協力者なし"
地水師 六四,42,7,六四,師左次。无咎。 （しさていす。とがなし。） 意味：軍隊は左側に退く。咎めはない。,状況が不利な場合、無理に戦わずに一時的に撤退し、態勢を立て直す賢明な判断。これは敗北ではなく、損失を避けるための戦略的行動。,停滞・中立パターン,0,"撤退, 再編, 守り",地水師,"再編, 問題なし, 守り, 撤退",58,25,48,35,受動,56,40,"状況:変革期, 状況:組織戦, 力学:協力者なし"
地水師 六五,43,7,六五,田有禽。利執言。…長子帥師。弟子輿尸。貞凶。 （でんにきんあり。げんをとるによろし。…ちょうししをひきう。ていししかばねをのす。ていきょう。） 意味：田に獲物がいる。…長男が軍を率いるべきで、末っ子が率いれば死体を運ぶ。正しくても凶。,解決すべき課題（禽）は明確だが、リーダーの人選が極めて重要。有能な者（長子）を任命すれば成功するが、不適任な者（弟子）に任せれば必ず失敗する。,やや破滅パターン,-1,"人材配置, 適材適所, 判断ミス",地水師,"人材配置, 凶, 判断ミス, 適材適所",42,70,68,45,受動,8,64,"状況:組織戦, 状況:絶頂期, 力学:協力者あり, 心理:正道堅持"
地水師 上六,44,7,上六,大君有命。開国承家。小人勿用。 （たいくんめいあり。くにをひらきいえをうく。しょうじんもちうるなかれ。） 意味：最高の君主が命を下す。国を開き家を継がせる。小人を用いてはならない。,戦いが終わり、目標を達成した後の論功行賞。功績のあった者に正当な報酬を与え、新しい秩序を築く。ただし、不正な者（小人）を登用すれば、再び乱れる。,大勝ちパターン,2,"勝利, 論功行賞, 新秩序",地水師,"勝利, 新秩序, 論功行賞",83,25,32,55,受動,44,24,"状況:終極期, 力学:協力者なし, アクション:現状維持"
水地比 初六,45,8,初六,有孚比之。无咎。有孚盈缶。終来有他。吉。 （ゆうふこれにひす。とがなし。ゆうふかんをみたす。おわりにきたりてたあり。きち。） 意味：真心をもって親しむ。咎めなし。真心が甕に満ちれば、やがて他者も来る。吉。,関係構築の始まり。まず自分から真心を示すことで、信頼の土台を築く。その誠実さが、やがて多くの協力者を引き寄せる、良いスタート。,勝ちパターン,1,"真心, 信頼, 始まり",水地比,"信頼, 吉, 問題なし, 始まり, 真心",67,25,40,35,受動,52,36,"状況:黎明期, 力学:協力者なし"
水地比 六二,46,8,六二,比之自内。貞吉。 （これにひするうちよりす。ていきち。） 意味：内側から親しむ。正しくしていれば吉。,組織やチームの内部において、心からの揺るぎない結束が形成されている理想的な状態。共通の価値観に基づいた、本質的な協力関係。,大勝ちパターン,2,"結束, 本質, 信頼関係",水地比,"信頼関係, 吉, 本質, 結束",100,55,76,25,受動,8,70,"状況:安定期, 力学:協力者あり, 心理:正道堅持"
水地比 六三,47,8,六三,比之匪人。 （これにひするひとにあらず。） 意味：正しくない者と親しむ。（凶）,不正な目的を持つ者や、信頼できない人物と安易に協力関係を結ぶこと。誤ったパートナーシップが、大きな問題や損失を招く。,破滅パターン,-2,"悪縁, 判断ミス, 危険",水地比,"凶, 判断ミス, 危険, 悪縁",8,25,24,75,受動,60,12,"状況:移行期, 力学:協力者なし"
水地比 六四,48,8,六四,外比于賢。貞吉。 （そとにけんをひす。ていきち。） 意味：外部の賢者と親しむ。正しくしていれば吉。,組織の枠を超え、外部の専門家や優れた組織と協力関係を築く。外部の知恵を積極的に取り入れることで、自らの成長に繋がる。,勝ちパターン,1,"外部連携, 協力, 専門家",水地比,"協力, 吉, 外部連携, 専門家",75,25,56,35,受動,36,44,"状況:変革期, 力学:協力者なし, 力学:順当な力関係, 心理:正道堅持"
水地比 九五,49,8,九五,顕比。王用三駆。…吉。 （ひをあらわす。おうもってさんくをもちう。…きち。） 意味：親しみを公にする。王は三方から狩りをする。…吉。（※解釈テキストでは「比之王」）,組織のトップが、周囲からの厚い信頼を得て、強いリーダーシップを発揮している状態。明確な目標の下、全員が協力し、咎められることがない。,大勝ちパターン,2,"リーダーシップ, 求心力, 目標達成",水地比,"リーダーシップ, 吉, 求心力, 目標達成",100,75,64,45,能動,36,64,"状況:絶頂期, 力学:下剋上リスク, 力学:協力者あり"
水地比 上六,50,8,上六,比之无首。凶。 （これにひするにくびなし。きょう。） 意味：先頭のない親密さ。凶。,誰がリーダーか、何が目標か不明確なまま、ただ馴れ合いで集まっている状態。統制が取れず、無秩序な集団は、やがて混乱し、崩壊する。,破滅パターン,-2,"無秩序, 混乱, 目的喪失",水地比,"凶, 混乱, 無秩序, 目的喪失",17,25,32,75,受動,56,16,"状況:終極期, 力学:協力者なし"
風天小畜 初九,51,9,初九,復自道。何其咎。吉。 （みちよりかえる。なんぞそのとがあらん。きち。） 意味：（正しい）道へ引き返す。何の咎めがあろうか。吉。,計画の初期段階で、誤りに気づき、速やかに正しい道へと軌道修正する。その勇気ある決断は、後の問題を未然に防ぐ、素晴らしい一手。,勝ちパターン,1,"軌道修正, 早期発見, 原点回帰",風天小畜,"原点回帰, 吉, 早期発見, 軌道修正",75,55,60,25,能動,40,62,"状況:黎明期, 力学:協力者あり"
風天小畜 九二,52,9,九二,牽復。吉。 （ひかれてかえる。きち。） 意味：（正しい道へ）引き戻される。吉。,離反しそうな仲間や、誤った方向に進むパートナーを、説得して引き戻す。あるいは、自分が他者の助言を受け入れ、正しい道に戻る。,勝ちパターン,1,"協力者, 説得, 関係修復",風天小畜,"協力者, 吉, 説得, 関係修復",75,55,56,35,能動,32,56,"状況:安定期, 力学:協力者なし"
風天小畜 九三,53,9,九三,輿脱輻。夫妻反目。 （よだつふく。ふうさいはんもくす。） 意味：車輪の輻（や）が外れる。夫婦が仲違いする。,組織やチーム内部に深刻な不和が生じ、協力体制が崩壊する。連携が完全に機能不全に陥り、プロジェクトが停滞する、最悪の状況。,破滅パターン,-2,"内部分裂, 不和, 機能不全",風天小畜,"不和, 内部分裂, 機能不全",17,40,20,75,能動,76,16,"状況:移行期, 力学:下剋上リスク, 力学:協力者なし"
風天小畜 六四,54,9,六四,有孚。血去惕出。无咎。 （まことあり。ちさりおそれいず。とがなし。） 意味：真心がある。血が去り、恐れがなくなる。咎めはない。,困難な状況でも、私心を捨て、真心と誠実さで問題に立ち向かう。その結果、危機（血）を乗り越え、不安（惕）が解消される。,勝ちパターン,1,"誠実, 危機克服, 信頼",風天小畜,"信頼, 危機克服, 問題なし, 誠実",75,40,68,25,受動,48,60,"状況:困窮状態, 状況:変革期, 力学:協力者あり, 力学:順当な力関係"
風天小畜 九五,55,9,九五,有孚攣如。富以其鄰。 （まことありれんじょ。そのとなりをもってとむ。） 意味：真心があり、連なり固く結びつく。隣人とともに富む。,困難を乗り越え、組織やチーム内に、揺るぎない信頼と結束が形成されている。自分たちだけでなく、周囲の協力者と共に繁栄する共存共栄の理想形。,大勝ちパターン,2,"結束, 共存共栄, パートナーシップ",風天小畜,"パートナーシップ, 共存共栄, 結束",100,60,64,35,能動,32,62,"状況:困窮状態, 状況:絶頂期, 力学:協力者なし"
